company_name,startup_goa_link
STALLION IT SOLUTIONS & SERVICES,http://startupgoa.org/company/STALLION%20IT%20SOLUTIONS%20%26%20SERVICES/
StartupGoa.org,http://startupgoa.org/company/StartupGoa.org/
Stealth Mode Startup - not yet decided on name,http://startupgoa.org/company/Stealth%20Mode%20Startup%20-%20not%20yet%20decided%20on%20name/
Stealth Startup,http://startupgoa.org/company/Stealth%20Startup/
Sun360,http://startupgoa.org/company/Sun360/
Svastek,http://startupgoa.org/company/Svastek/
Swift Couriers and Logistics,http://startupgoa.org/company/Swift%20Couriers%20and%20Logistics/
Sword Leo,http://startupgoa.org/company/Sword%20Leo/
Synapse Information Services,http://startupgoa.org/company/Synapse%20Information%20Services/
Tangentia,http://startupgoa.org/company/Tangentia/
Tangentia Inc.,http://startupgoa.org/company/Tangentia%20Inc./
Taxi Billboards Pvt Ltd,http://startupgoa.org/company/Taxi%20Billboards%20Pvt%20Ltd/
Tea N Tonic,http://startupgoa.org/company/Tea%20N%20Tonic/
Team Inertia Technologies,http://startupgoa.org/company/Team%20Inertia%20Technologies/
TeaTrunk.com,http://startupgoa.org/company/TeaTrunk.com/
Teknorix,http://startupgoa.org/company/Teknorix/
Teknorix Systems,http://startupgoa.org/company/Teknorix%20Systems/
TenTwenty Digital - Goa,http://startupgoa.org/company/TenTwenty%20Digital%20-%20Goa/
TGI Consulting Group,http://startupgoa.org/company/TGI%20Consulting%20Group/
the hostel crowd,http://startupgoa.org/company/the%20hostel%20crowd/
Themes21,http://startupgoa.org/company/Themes21/
Third Sector Partners,http://startupgoa.org/company/Third%20Sector%20Partners/
Timeline Media Pvt Ltd.,http://startupgoa.org/company/Timeline%20Media%20Pvt%20Ltd./
Toptal LLC,http://startupgoa.org/company/Toptal%20LLC/
Transerve,http://startupgoa.org/company/Transerve/
Transerve Technologies,http://startupgoa.org/company/Transerve%20Technologies/
Transerve Technologies Pvt Ltd,http://startupgoa.org/company/Transerve%20Technologies%20Pvt%20Ltd/
Triplop,http://startupgoa.org/company/Triplop/
Umang Software,http://startupgoa.org/company/Umang%20Software/
Urbania Developers,http://startupgoa.org/company/Urbania%20Developers/
Vacation Labs,http://startupgoa.org/company/Vacation%20Labs/
Veedma,http://startupgoa.org/company/Veedma/
VEGA ECOMMERCE PTY LTD,http://startupgoa.org/company/VEGA%20ECOMMERCE%20PTY%20LTD/
VegaTechnolabs,http://startupgoa.org/company/VegaTechnolabs/
Vexma Technologies - 3d printing services gujarat india,http://startupgoa.org/company/Vexma%20Technologies%20-%203d%20printing%20services%20gujarat%20india/
Video Volunteers,http://startupgoa.org/company/Video%20Volunteers/
Vijayshree Software Solutions,http://startupgoa.org/company/Vijayshree%20Software%20Solutions/
Virtualwebs Servers,http://startupgoa.org/company/Virtualwebs%20Servers/
Virtualwebs Servers Private Limited,http://startupgoa.org/company/Virtualwebs%20Servers%20Private%20Limited/
Virtualwebs Servers Pvt. Ltd.,http://startupgoa.org/company/Virtualwebs%20Servers%20Pvt.%20Ltd./
Visual Juju,http://startupgoa.org/company/Visual%20Juju/
vrik.sh,http://startupgoa.org/company/vrik.sh/
Vuru Inc.,http://startupgoa.org/company/Vuru%20Inc./
Wafer Electronics,http://startupgoa.org/company/Wafer%20Electronics/
WBT,http://startupgoa.org/company/WBT/
Web Blend Solutions,http://startupgoa.org/company/Web%20Blend%20Solutions/
WebFills,http://startupgoa.org/company/WebFills/
Webware.io,http://startupgoa.org/company/Webware.io/
What the Future Venture Capital,http://startupgoa.org/company/What%20the%20Future%20Venture%20Capital/
WHN DIGITAL,http://startupgoa.org/company/WHN%20DIGITAL/
Wise Lane,http://startupgoa.org/company/Wise%20Lane/
Working Traveller,http://startupgoa.org/company/Working%20Traveller/
Xantaara Media Works,http://startupgoa.org/company/Xantaara%20Media%20Works/
ZEDO India Pvt. Ltd.,http://startupgoa.org/company/ZEDO%20India%20Pvt.%20Ltd./
Zettabyte,http://startupgoa.org/company/Zettabyte/
